1	United States	 57,020,000,000.00
2	Switzerland	 52,000,000,000.00
3	Italy	 43,000,000,000.00
4	Brazil	 42,060,000,000.00
5	Germany	 41,670,000,000.00
6	Canada	 23,500,000,000.00
7	Austria	 19,540,000,000.00
8	Belgium	 17,160,000,000.00
9	Finland	 16,110,000,000.00
10	Netherlands	 15,450,000,000.00
11	Denmark	 12,820,000,000.00
12	Sweden	 12,750,000,000.00
13	United Kingdom	 12,290,000,000.00
14	Hong Kong	 12,260,000,000.00
15	Croatia	 12,240,000,000.00
16	Uzbekistan	 11,440,000,000.00
17	Portugal	 10,740,000,000.00
18	France	 10,680,000,000.00
19	South Africa	 10,570,000,000.00
20	Argentina	 10,280,000,000.00
21	Hungary	  9,879,000,000.00
22	Slovakia	  9,412,000,000.00
23	Belarus	  9,406,000,000.00
24	Czech Republic	  8,580,000,000.00
25	Poland	  8,480,000,000.00
26	Mozambique	  8,278,000,000.00
27	Greece	  7,575,000,000.00
28	Luxembourg	  6,830,000,000.00
29	Slovenia	  6,218,000,000.00
30	Spain	  5,880,000,000.00
31	Lithuania	  5,649,000,000.00
32	Iraq	  5,600,000,000.00
33	India	  5,270,000,000.00
34	Latvia	  4,643,000,000.00
35	Vietnam	  3,850,000,000.00
36	China	  3,842,000,000.00
37	Morocco	  3,429,000,000.00
38	Norway	  3,414,000,000.00
39	Russia	  3,066,000,000.00
40	Estonia	  3,025,000,000.00
41	Moldova	  2,931,000,000.00
42	West Bank	  2,800,000,000.00
43	Macau	  2,790,000,000.00
44	Zimbabwe	  2,691,000,000.00
45	Bulgaria	  2,660,000,000.00
46	Thailand	  2,313,000,000.00
47	Botswana	  2,181,000,000.00
48	Iran	  2,060,000,000.00
49	Namibia	  2,045,000,000.00
50	Kazakhstan	  1,940,000,000.00
51	Albania	  1,884,000,000.00
52	Venezuela	  1,651,000,000.00
53	Chile	  1,628,000,000.00
54	Syria	  1,400,000,000.00
55	Macedonia	  1,370,000,000.00
56	Bosnia and Herzegovina	  1,200,000,000.00
57	Ecuador	  1,120,000,000.00
58	Lebanon	  1,114,000,000.00
59	Laos	   999,000,000.00
60	Romania	   921,000,000.00
61	Turkey	   790,000,000.00
62	Serbia	   770,000,000.00
63	Swaziland	   770,000,000.00
64	Ireland	   756,000,000.00
65	Benin	   588,000,000.00
66	Mexico	   584,000,000.00
67	Azerbaijan	   548,000,000.00
68	Togo	   514,000,000.00
69	Andorra	   497,700,000.00
70	Niger	   450,000,000.00
71	Congo, Republic of the	   449,000,000.00
72	Ghana	   435,000,000.00
73	Georgia	   430,000,000.00
74	Armenia	   418,700,000.00
75	Uruguay	   386,800,000.00
76	Tajikistan	   338,500,000.00
77	Algeria	   279,000,000.00
78	Egypt	   251,000,000.00
79	Belize	   248,400,000.00
80	Afghanistan	   230,000,000.00
81	Zambia	   222,000,000.00
82	Mongolia	   214,100,000.00
83	Nepal	   213,000,000.00
84	El Salvador	   208,400,000.00
85	Costa Rica	   203,200,000.00
86	Tanzania	   200,000,000.00
87	Jordan	   200,000,000.00
88	Cambodia	   167,000,000.00
89	Tunisia	   145,000,000.00
90	Rwanda	   130,000,000.00
91	Libya	    77,000,000.00
92	Nicaragua	    63,950,000.00
93	Lesotho	    50,000,000.00
94	Burundi	    40,000,000.00
95	Colombia	    39,400,000.00
96	Kenya	    22,500,000.00
97	Honduras	    11,800,000.00
98	Panama	     8,740,000.00
99	Guatemala	     8,110,000.00
100	Congo, Democratic Republic of the	     6,000,000.00
101	Gaza Strip	      120,000.00
102	Aruba	           0.00
103	Antigua and Barbuda	           0.00
104	United Arab Emirates	           0.00
105	Angola	           0.00
106	American Samoa	           0.00
107	Australia	           0.00
108	Bahrain	           0.00
109	Barbados	           0.00
110	Bermuda	           0.00
111	Bahamas, The	           0.00
112	Bangladesh	           0.00
113	Bolivia	           0.00
114	Burma	           0.00
115	Solomon Islands	           0.00
116	Bhutan	           0.00
117	Brunei	           0.00
118	Chad	           0.00
119	Sri Lanka	           0.00
120	Cayman Islands	           0.00
121	Cameroon	           0.00
122	Comoros	           0.00
123	Northern Mariana Islands	           0.00
124	Central African Republic	           0.00
125	Cuba	           0.00
126	Cape Verde	           0.00
127	Cook Islands	           0.00
128	Cyprus	           0.00
129	Djibouti	           0.00
130	Dominica	           0.00
131	Dominican Republic	           0.00
132	Equatorial Guinea	           0.00
133	Eritrea	           0.00
134	Ethiopia	           0.00
135	Fiji	           0.00
136	Falkland Islands (Islas Malvinas)	           0.00
137	Micronesia, Federated States of	           0.00
138	Faroe Islands	           0.00
139	French Polynesia	           0.00
140	Gambia, The	           0.00
141	Gabon	           0.00
142	Gibraltar	           0.00
143	Grenada	           0.00
144	Guernsey	           0.00
145	Greenland	           0.00
146	Guinea	           0.00
147	Guyana	           0.00
148	Haiti	           0.00
149	Iceland	           0.00
150	Indonesia	           0.00
151	Israel	           0.00
152	Cote d'Ivoire	           0.00
153	Japan	           0.00
154	Jamaica	           0.00
155	Kyrgyzstan	           0.00
156	Korea, North	           0.00
157	Kiribati	           0.00
158	Korea, South	           0.00
159	Kuwait	           0.00
